Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220060,Angical do Piauí,Centro Norte Piauiense,Entre Rios,6779,32.14,9.35,28.17,83.92,-4.5,29.82
220470,Inhuma,Centro Norte Piauiense,Vale Do Sambito,15330,35.71,13.27,28.28,78.64,-6.86,29.81
220270,Cocal,Norte Piauiense,Planície Litorânea,27901,40.05,16.05,25.97,76.28,-9.74,29.72
220900,Rio Grande do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,6434,35.71,9.19,24.32,80.95,-1.85,29.66
220640,Monsenhor Gil,Centro Norte Piauiense,Entre Rios,10563,35.71,11.28,27.47,79.84,-6.13,29.63
220750,Palmeirais,Centro Norte Piauiense,Entre Rios,14633,36.01,13.06,25.17,79.93,-6.49,29.54
220810,Pimenteiras,Centro Norte Piauiense,Vale Do Sambito,12150,39.29,10.77,24.42,78.33,-5.31,29.5
221030,São Julião,Sudeste Piauiense,Vale Do Rio Guaribas,6379,39.5,5.56,26.06,79.48,-3.32,29.46
220300,Cristalândia do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,8350,39.29,8.25,24.28,76.32,-1.48,29.33
220650,Monsenhor Hipólito,Sudeste Piauiense,Vale Do Rio Guaribas,7785,39.29,7.47,25.43,77.38,-2.95,29.32
220110,Avelino Lopes,Sudoeste Piauiense,Chapada Das Mangabeiras,11361,39.29,9.72,24.14,78.24,-4.87,29.3
220590,Manoel Emídio,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,5352,39.29,7.49,23.95,76.55,-1.11,29.23
220990,São João da Serra,Centro Norte Piauiense,Carnaubais,6106,35.71,5.99,24.55,84.04,-4.21,29.22
220160,Beneditinos,Centro Norte Piauiense,Entre Rios,10479,35.71,11.02,24.54,79.91,-5.39,29.16
220620,Miguel Alves,Norte Piauiense,Entre Rios,33901,39.29,18.77,28.46,76.86,-17.56,29.16
220090,Aroazes,Centro Norte Piauiense,Vale Do Sambito,5819,35.71,7.53,24.54,82.57,-4.58,29.15
220400,Francinópolis,Centro Norte Piauiense,Vale Do Sambito,5345,35.71,5.28,24.32,82.8,-2.51,29.12
