Cód do Município,Município,Mesoregiao,Regional de Saúde,População,Leitos,Estabelecimentos,Demografia Geral,Demografia Faixa Etária,Fluxo de Pacientes,Score Final
220970,São Francisco do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,6417,3.57,3.59,21.45,81.81,-0.78,21.93
220170,Bertolínia,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,5512,3.57,3.53,23.71,79.3,-0.75,21.87
220080,Antônio Almeida,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,3175,0.0,1.99,30.9,76.66,-0.49,21.81
220557,Lagoa de São Francisco,Centro Norte Piauiense,Cocais,6795,0.0,2.68,28.09,78.33,-0.75,21.67
220735,Pajeú do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3416,0.0,2.57,22.25,83.33,-0.22,21.59
220225,Canavieira,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3938,3.57,1.96,21.95,80.49,-0.43,21.51
220985,São João da Canabrava,Sudeste Piauiense,Vale Do Rio Guaribas,4619,0.0,2.62,21.55,83.88,-0.55,21.5
220530,Jerumenha,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4443,3.57,2.39,22.46,79.36,-0.55,21.45
220209,Caldeirão Grande do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,5786,0.0,2.03,27.28,78.64,-0.69,21.45
220100,Arraial,Centro Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,4713,3.57,4.18,21.29,78.19,-0.48,21.35
221038,São Miguel da Baixa Grande,Centro Norte Piauiense,Vale Do Sambito,2456,0.0,1.61,21.5,83.83,-0.18,21.35
221063,Sebastião Leal,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,4311,0.0,2.78,28.59,75.92,-0.55,21.35
220675,Nossa Senhora de Nazaré,Centro Norte Piauiense,Carnaubais,4911,0.0,2.21,22.26,83.05,-0.85,21.33
220070,Anísio de Abreu,Sudoeste Piauiense,Serra Da Capivara,9994,7.14,2.51,23.42,74.39,-1.17,21.26
